state,electricity,unit,source,gas,unit,source,region,transport,unit,source,basin,storage,unit,source,,
AL,0.017583333,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003260478,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,AL,Alabama
AK,0.04725,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003061437,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,western,0.06,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,California ,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,AK,Alaska
AZ,0.022083333,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.004293595,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,western,0.06,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,California ,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,AZ,Arizona
AR,0.016861111,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.00609444,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,AR,Arkansas
CA,0.045722222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.006625216,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,western,0.06,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,California ,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,CA,California
CO,0.021083333,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.005497318,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,rockies,0.075,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,North Central ,11,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,CO,Colorado
CT,0.03825,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.006141831,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,CT,Connecticut
DE,0.018833333,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.011165242,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,DE,Delaware
FL,0.01975,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.005355146,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,FL,Florida
GA,0.017027778,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003838644,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,GA,Georgia
